Rio Ave (Portuguese),Gaziantepspor (Turkish)
Rio Ave (Portuguese),Sporting Braga (Portuguese)
Rio Ave (Portuguese),Kayserispor (Turkish)
Rio Ave (Portuguese),Moreirense (Portuguese)
Rio Ave (Portuguese),Osmanlıspor (Turkish)
Rio Ave (Portuguese),Moreirense (Portuguese)
Rio Ave (Portuguese),Sporting CP (Portuguese)
Rio Ave (Portuguese),Kasımpaşa (Turkish)
Rio Ave (Portuguese),Benfica (Portuguese)
Sporting Braga (Portuguese),FC Krasnodar (Russian)
Sporting Braga (Portuguese),Nacional (Portuguese)
Sporting Braga (Portuguese),Tondela (Portuguese)
Sporting Braga (Portuguese),Shijiazhuang Ever Bright (Chinese)
Sporting Braga (Portuguese),Lille (French)
Sporting Braga (Portuguese),Valencia (Spanish)
Sporting Braga (Portuguese),Spartak Moscow (Russian)
Sporting Braga (Portuguese),Paços de Ferreira (Portuguese)
Sporting Braga (Portuguese),Valencia (Spanish)
Sporting Braga (Portuguese),Arouca (Portuguese)
Sporting Braga (Portuguese),Belenenses (Portuguese)
Sporting Braga (Portuguese),Olympiakos (Greek)
Sporting CP (Portuguese),Genoa (Italian)
Sporting CP (Portuguese),Granada (Spanish)
Sporting CP (Portuguese),Vitória Guimarães (Portuguese)
Sporting CP (Portuguese),Southampton (English)
Sporting CP (Portuguese),Nice (French)
Sporting CP (Portuguese),Fenerbahçe (Turkish)
Sporting CP (Portuguese),Belenenses (Portuguese)
Vitória Guimarães (Portuguese),FC Porto (Portuguese)
Vitória Guimarães (Portuguese),Nacional (Portuguese)
Vitória Guimarães (Portuguese),Oud-Heverlee Leuven (Belgian)
Vitória Guimarães (Portuguese),Akhisar Belediyespor (Turkish)
Vitória Guimarães (Portuguese),Arouca (Portuguese)
Vitória Guimarães (Portuguese),Académica (Portuguese)
Vitória Guimarães (Portuguese),Getafe (Spanish)
Grêmio (Brazilian),Vitória Guimarães (Portuguese)
Vitória Guimarães (Portuguese),Académica (Portuguese)
Vitória Setúbal (Portuguese),São Paulo (Brazilian)
Vitória Setúbal (Portuguese),PAOK (Greek)
Vitória Setúbal (Portuguese),FC Porto (Portuguese)
Vitória Setúbal (Portuguese),Arouca (Portuguese)
Vitória Setúbal (Portuguese),Sint-Truiden (Belgian)
Chornomorets Odessa (Ukrainian),Oleksandriya (Ukrainian)
Chornomorets Odessa (Ukrainian),Volyn Lutsk (Ukrainian)
Chornomorets Odessa (Ukrainian),Zorya Luhansk (Ukrainian)
Chornomorets Odessa (Ukrainian),Wisła Kraków (Polish)
Chornomorets Odessa (Ukrainian),Stal Dniprodzerzhynsk (Ukrainian)
Chornomorets Odessa (Ukrainian),Hoverla Uzhhorod (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Volyn Lutsk (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Reims (French)
Dnipro Dnipropetrovsk (Ukrainian),Karpaty Lviv (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Fiorentina (Italian)
Dnipro Dnipropetrovsk (Ukrainian),Sevilla (Spanish)
Dnipro Dnipropetrovsk (Ukrainian),Kuban Krasnodar (Russian)
Dnipro Dnipropetrovsk (Ukrainian),Vorskla Poltava (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Dynamo Kiev (Ukrainian)
Dnipro Dnipropetrovsk (Ukrainian),Beşiktaş (Turkish)
Dynamo Kiev (Ukrainian),Sunderland (English)
Dynamo Kiev (Ukrainian),VfB Stuttgart (German)
Dynamo Kiev (Ukrainian),Norwich City (English)
Dynamo Kiev (Ukrainian),FC Schalke 04 (German)
Hoverla Uzhhorod (Ukrainian),Honvéd (Hungarian)
Hoverla Uzhhorod (Ukrainian),Metalist Kharkiv (Ukrainian)
Hoverla Uzhhorod (Ukrainian),Trabzonspor (Turkish)
Hoverla Uzhhorod (Ukrainian),Dynamo Kiev (Ukrainian)
Hoverla Uzhhorod (Ukrainian),Volyn Lutsk (Ukrainian)
Hoverla Uzhhorod (Ukrainian),Metalist Kharkiv (Ukrainian)
Hoverla Uzhhorod (Ukrainian),Odense (Danish)
Hoverla Uzhhorod (Ukrainian),Metalist Kharkiv (Ukrainian)
Hoverla Uzhhorod (Ukrainian),Olimpik Donetsk (Ukrainian)
Hoverla Uzhhorod (Ukrainian),Vorskla Poltava (Ukrainian)
Illichivets Mariupol (Ukrainian),Olimpik Donetsk (Ukrainian)
Illichivets Mariupol (Ukrainian),Puskás Akadémia (Hungarian)
Illichivets Mariupol (Ukrainian),Oleksandriya (Ukrainian)
Karpaty Lviv (Ukrainian),Hoverla Uzhhorod (Ukrainian)
Metalist Kharkiv (Ukrainian),Vorskla Poltava (Ukrainian)
Metalist Kharkiv (Ukrainian),Stal Dniprodzerzhynsk (Ukrainian)
Metalist Kharkiv (Ukrainian),Lokeren (Belgian)
Metalist Kharkiv (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
Metalist Kharkiv (Ukrainian),Stal Dniprodzerzhynsk (Ukrainian)
Metalist Kharkiv (Ukrainian),Platanias (Greek)
Metalist Kharkiv (Ukrainian),FC Ural (Russian)
Metalist Kharkiv (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
Metalist Kharkiv (Ukrainian),Vorskla Poltava (Ukrainian)
Metalist Kharkiv (Ukrainian),Chornomorets Odessa (Ukrainian)
Metalurh Donetsk (Ukrainian),Stal Dniprodzerzhynsk (Ukrainian)
Metalurh Donetsk (Ukrainian),Zorya Luhansk (Ukrainian)
Metalurh Donetsk (Ukrainian),Termalica Bruk-Bet Nieciecza (Polish)
Metalurh Donetsk (Ukrainian),Dynamo Kiev (Ukrainian)
Metalurh Donetsk (Ukrainian),Stal Dniprodzerzhynsk (Ukrainian)
Metalurh Donetsk (Ukrainian),Dynamo Kiev (Ukrainian)
Metalurh Donetsk (Ukrainian),Stal Dniprodzerzhynsk (Ukrainian)
Metalurh Donetsk (Ukrainian),Olimpik Donetsk (Ukrainian)
Metalurh Donetsk (Ukrainian),Stal Dniprodzerzhynsk (Ukrainian)
Metalurh Donetsk (Ukrainian),Stal Dniprodzerzhynsk (Ukrainian)
Metalurh Donetsk (Ukrainian),Frosinone (Italian)
Metalurh Donetsk (Ukrainian),Metalist Kharkiv (Ukrainian)
Metalurh Donetsk (Ukrainian),Stal Dniprodzerzhynsk (Ukrainian)
Metalurh Zaporizhya (Ukrainian),Chornomorets Odessa (Ukrainian)
Metalurh Zaporizhya (Ukrainian),Eskişehirspor (Turkish)
Metalurh Zaporizhya (Ukrainian),Hoverla Uzhhorod (Ukrainian)
Metalurh Zaporizhya (Ukrainian),Chornomorets Odessa (Ukrainian)
Metalurh Zaporizhya (Ukrainian),Levadiakos (Greek)
Metalurh Zaporizhya (Ukrainian),Metalist Kharkiv (Ukrainian)
Metalurh Zaporizhya (Ukrainian),Kuban Krasnodar (Russian)
Metalurh Zaporizhya (Ukrainian),Puskás Akadémia (Hungarian)
Olimpik Donetsk (Ukrainian),Hoverla Uzhhorod (Ukrainian)
Olimpik Donetsk (Ukrainian),Zorya Luhansk (Ukrainian)
Olimpik Donetsk (Ukrainian),Śląsk Wrocław (Polish)
Olimpik Donetsk (Ukrainian),Vorskla Poltava (Ukrainian)
Olimpik Donetsk (Ukrainian),Karpaty Lviv (Ukrainian)
Shakhtar Donetsk (Ukrainian),Oud-Heverlee Leuven (Belgian)
Shakhtar Donetsk (Ukrainian),Milan (Italian)
Shakhtar Donetsk (Ukrainian),Sampdoria (Italian)
Shakhtar Donetsk (Ukrainian),Bayern Munich (German)
Volyn Lutsk (Ukrainian),Stal Dniprodzerzhynsk (Ukrainian)
Volyn Lutsk (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
Volyn Lutsk (Ukrainian),Liaoning Whowin (Chinese)
Volyn Lutsk (Ukrainian),Dnipro Dnipropetrovsk (Ukrainian)
Volyn Lutsk (Ukrainian),Olimpik Donetsk (Ukrainian)
Volyn Lutsk (Ukrainian),Olimpik Donetsk (Ukrainian)
Vorskla Poltava (Ukrainian),Volyn Lutsk (Ukrainian)
Vorskla Poltava (Ukrainian),Oleksandriya (Ukrainian)
Vorskla Poltava (Ukrainian),Stal Dniprodzerzhynsk (Ukrainian)
Vorskla Poltava (Ukrainian),Zorya Luhansk (Ukrainian)
Vorskla Poltava (Ukrainian),Amkar Perm (Russian)
Zorya Luhansk (Ukrainian),Shakhtar Donetsk (Ukrainian)
Zorya Luhansk (Ukrainian),KRC Genk (Belgian)
Zorya Luhansk (Ukrainian),Rubin Kazan (Russian)
Adelaide United (Australian),Newcastle United Jets (Australian)
Adelaide United (Australian),Melbourne City (Australian)
Adelaide United (Australian),Newcastle United Jets (Australian)
Adelaide United (Australian),FC Midtjylland (Danish)
Adelaide United (Australian),Sturm Graz (Austrian)
Adelaide United (Australian),Central Coast Mariners (Australian)
Adelaide United (Australian),Newcastle United Jets (Australian)
Sarpsborg 08 (Norwegian),Brisbane Roar (Australian)
Brisbane Roar (Australian),Newcastle United Jets (Australian)
Central Coast Mariners (Australian),Sydney FC (Australian)
Central Coast Mariners (Australian),Melbourne City (Australian)
Central Coast Mariners (Australian),Melbourne City (Australian)
Central Coast Mariners (Australian),Western Sydney Wanderers (Australian)
Central Coast Mariners (Australian),Western Sydney Wanderers (Australian)
Central Coast Mariners (Australian),Honvéd (Hungarian)
Central Coast Mariners (Australian),Sydney FC (Australian)
Melbourne City (Australian),Western Sydney Wanderers (Australian)
Melbourne City (Australian),Shamrock Rovers (Irish)
Melbourne City (Australian),Szombathelyi Haladás (Hungarian)
Melbourne City (Australian),Newcastle United Jets (Australian)
Melbourne City (Australian),Adelaide United (Australian)
Newcastle United Jets (Australian),Western Sydney Wanderers (Australian)
Newcastle United Jets (Australian),Sydney FC (Australian)
Newcastle United Jets (Australian),Western Sydney Wanderers (Australian)
Newcastle United Jets (Australian),Adelaide United (Australian)
Perth Glory (Australian),Melbourne Victory (Australian)
Perth Glory (Australian),Sydney FC (Australian)
Perth Glory (Australian),Sydney FC (Australian)
Perth Glory (Australian),Brisbane Roar (Australian)
Perth Glory (Australian),Western Sydney Wanderers (Australian)
Perth Glory (Australian),Randers (Danish)
Perth Glory (Australian),Roda JC (Dutch)
Perth Glory (Australian),Western Sydney Wanderers (Australian)
Sydney FC (Australian),Melbourne City (Australian)
Sydney FC (Australian),Club Brugge (Belgian)
Sydney FC (Australian),Perth Glory (Australian)
Sydney FC (Australian),PAOK (Greek)
Wellington Phoenix (Australian),FC Tokyo (Japanese)
Wellington Phoenix (Australian),Vitória Guimarães (Portuguese)
Western Sydney Wanderers (Australian),Perth Glory (Australian)
Western Sydney Wanderers (Australian),Newcastle United Jets (Australian)
Western Sydney Wanderers (Australian),Newcastle United Jets (Australian)
Western Sydney Wanderers (Australian),Roda JC (Dutch)
Western Sydney Wanderers (Australian),Hangzhou Greentown (Chinese)
Western Sydney Wanderers (Australian),Iraklis (Greek)
Western Sydney Wanderers (Australian),Adelaide United (Australian)
Western Sydney Wanderers (Australian),Melbourne City (Australian)
Western Sydney Wanderers (Australian),Melbourne City (Australian)
Western Sydney Wanderers (Australian),Melbourne City (Australian)
Arsenal (English),Roma (Italian)
Arsenal (English),Bordeaux (French)
Arsenal (English),Marseille (French)
Arsenal (English),West Ham United (English)
Aston Villa (English),AZ Alkmaar (Dutch)
Aston Villa (English),Everton (English)
Aston Villa (English),Manchester City (English)
Aston Villa (English),Liverpool (English)
Aston Villa (English),Stoke City (English)
Burnley (English),Tottenham Hotspur (English)
Burnley (English),Liverpool (English)
Chelsea (English),Arsenal (English)
Chelsea (English),Atlético Madrid (Spanish)
Chelsea (English),Watford (English)
Chelsea (English),Montreal Impact (USA)
Chelsea (English),Juventus (Italian)
Chelsea (English),Borussia Mönchengladbach (German)
Chelsea (English),Rennes (French)
Chelsea (English),Vitesse (Dutch)
Chelsea (English),Vitesse (Dutch)
Chelsea (English),Vitesse (Dutch)
Crystal Palace (English),Watford (English)
Crystal Palace (English),Bournemouth (English)
Everton (English),Norwich City (English)
Everton (English),Bournemouth (English)
Everton (English),Málaga (Spanish)
Hull City (English),Colorado Rapids (USA)
Hull City (English),West Bromwich Albion (English)
Hull City (English),Norwich City (English)
Hull City (English),Sunderland (English)
Hull City (English),Sunderland (English)
Leicester City (English),Olympiakos (Greek)
Leicester City (English),1899 Hoffenheim (German)
Leicester City (English),Motherwell (Scottish)
Liverpool (English),NEC Nijmegen (Dutch)
Liverpool (English),Stoke City (English)
Liverpool (English),Los Angeles Galaxy (USA)
Liverpool (English),West Bromwich Albion (English)
Liverpool (English),Marseille (French)
Liverpool (English),Sunderland (English)
Liverpool (English),Manchester City (English)
Liverpool (English),Milan (Italian)
Liverpool (English),Fenerbahçe (Turkish)
Manchester City (English),Liverpool (English)
Manchester City (English),Roma (Italian)
Manchester City (English),New York City (USA)
Manchester City (English),Internazionale (Italian)
Manchester City (English),Celtic (Scottish)
Manchester City (English),Genoa (Italian)
Manchester City (English),Bastia (French)
Manchester City (English),New York City (USA)
Manchester United (English),Lyon (French)
Manchester United (English),West Bromwich Albion (English)
Manchester United (English),Paris Saint-Germain (French)
Manchester United (English),Chelsea (English)
Manchester United (English),Fenerbahçe (Turkish)
Manchester United (English),Standard Ličge (Belgian)
Manchester United (English),Celtic (Scottish)
Newcastle United (English),Shakhtar Donetsk (Ukrainian)
Newcastle United (English),Deportivo La Coruña (Spanish)
Newcastle United (English),Marseille (French)
Newcastle United (English),Panathinaikos (Greek)
Newcastle United (English),Lyon (French)
Queens Park Rangers (English),Liverpool (English)
Queens Park Rangers (English),Southampton (English)
Queens Park Rangers (English),Swansea City (English)
Queens Park Rangers (English),New York Red Bulls (USA)
Queens Park Rangers (English),Crystal Palace (English)
Queens Park Rangers (English),Marseille (French)
Queens Park Rangers (English),1899 Hoffenheim (German)
Queens Park Rangers (English),Benfica (Portuguese)
Queens Park Rangers (English),Fiorentina (Italian)
Queens Park Rangers (English),West Bromwich Albion (English)
Southampton (English),Liverpool (English)
Southampton (English),Manchester United (English)
Southampton (English),Anderlecht (Belgian)
Southampton (English),Tottenham Hotspur (English)
Southampton (English),Feyenoord (Dutch)
Stoke City (English),Chelsea (English)
Stoke City (English),West Ham United (English)
Stoke City (English),Sevilla (Spanish)
Stoke City (English),Melbourne City (Australian)
Sunderland (English),Watford (English)
Sunderland (English),Marseille (French)
Sunderland (English),Crystal Palace (English)
Sunderland (English),Sampdoria (Italian)
Sunderland (English),Sporting CP (Portuguese)
Sunderland (English),Bologna (Italian)
Sunderland (English),Getafe (Spanish)
Toronto FC (USA),Sunderland (English)
Swansea City (English),Newcastle United (English)
Swansea City (English),Leicester City (English)
Swansea City (English),Tottenham Hotspur (English)
Swansea City (English),Werder Bremen (German)
Tottenham Hotspur (English),Sunderland (English)
Tottenham Hotspur (English),Napoli (Italian)
Tottenham Hotspur (English),Guangzhou Evergrande Taobao (Chinese)
Tottenham Hotspur (English),Villarreal (Spanish)
Tottenham Hotspur (English),Crystal Palace (English)
Tottenham Hotspur (English),Sunderland (English)
Seattle Sounders (USA),Sunderland (English)
Tottenham Hotspur (English),Newcastle United (English)
Tottenham Hotspur (English),Sevilla (Spanish)
Tottenham Hotspur (English),Paris Saint-Germain (French)
Tottenham Hotspur (English),Watford (English)
Tottenham Hotspur (English),Werder Bremen (German)
West Bromwich Albion (English),Norwich City (English)
West Bromwich Albion (English),Aston Villa (English)
West Bromwich Albion (English),Olympiakos (Greek)
West Bromwich Albion (English),Norwich City (English)
West Bromwich Albion (English),Norwich City (English)
West Ham United (English),Norwich City (English)
West Ham United (English),Vasco da Gama (Brazilian)
West Ham United (English),Dundee United (Scottish)
West Ham United (English),Lille (French)
West Ham United (English),Celtic (Scottish)
Toronto FC (USA),West Ham United (English)
Atalanta (Italian),FC Tokyo (Japanese)
Atalanta (Italian),Torino (Italian)
Atalanta (Italian),Torino (Italian)
Atalanta (Italian),Verona (Italian)
Atalanta (Italian),Fiorentina (Italian)
Atalanta (Italian),Napoli (Italian)
Cagliari (Italian),Carpi (Italian)
Cagliari (Italian),Bologna (Italian)
Cagliari (Italian),Torino (Italian)
Cagliari (Italian),Frosinone (Italian)
Cagliari (Italian),Bologna (Italian)
Cagliari (Italian),Hamburger SV (German)
Cagliari (Italian),Bologna (Italian)
Cagliari (Italian),Sampdoria (Italian)
Cagliari (Italian),Chievo Verona (Italian)
Cagliari (Italian),Carpi (Italian)
Cagliari (Italian),Málaga (Spanish)
Cesena (Italian),Frosinone (Italian)
Cesena (Italian),Sampdoria (Italian)
Cesena (Italian),Sampdoria (Italian)
Cesena (Italian),Bologna (Italian)
Cesena (Italian),Chievo Verona (Italian)
Cesena (Italian),Sassuolo (Italian)
Chievo Verona (Italian),Carpi (Italian)
Chievo Verona (Italian),Sampdoria (Italian)
Chievo Verona (Italian),Sporting CP (Portuguese)
Chievo Verona (Italian),Frosinone (Italian)
Chievo Verona (Italian),Granada (Spanish)
Chievo Verona (Italian),Swansea City (English)
Chievo Verona (Italian),Roma (Italian)
Empoli (Italian),Napoli (Italian)
Empoli (Italian),Carpi (Italian)
Empoli (Italian),VfB Stuttgart (German)
Empoli (Italian),Napoli (Italian)
Empoli (Italian),Juventus (Italian)
Empoli (Italian),Atalanta (Italian)
Empoli (Italian),Fiorentina (Italian)
Empoli (Italian),Fiorentina (Italian)
Fiorentina (Italian),Juventus (Italian)
Fiorentina (Italian),Aston Villa (English)
Fiorentina (Italian),Betis (Spanish)
Fiorentina (Italian),Sporting CP (Portuguese)
Fiorentina (Italian),Atlético Madrid (Spanish)
Fiorentina (Italian),Atalanta (Italian)
Fiorentina (Italian),Betis (Spanish)
Fiorentina (Italian),Levante (Spanish)
Fiorentina (Italian),Beşiktaş (Turkish)
Fiorentina (Italian),Frosinone (Italian)
Fiorentina (Italian),Roma (Italian)
Genoa (Italian),Roma (Italian)
Genoa (Italian),Milan (Italian)
Genoa (Italian),Fiorentina (Italian)
Genoa (Italian),PSV Eindhoven (Dutch)
Genoa (Italian),Fiorentina (Italian)
Genoa (Italian),Udinese (Italian)
Genoa (Italian),Atalanta (Italian)
Genoa (Italian),Roma (Italian)
Genoa (Italian),Milan (Italian)
Genoa (Italian),Empoli (Italian)
Genoa (Italian),Milan (Italian)
Internazionale (Italian),Fluminense (Brazilian)
Internazionale (Italian),Real Madrid (Spanish)
Internazionale (Italian),Galatasaray (Turkish)
Internazionale (Italian),Udinese (Italian)
Internazionale (Italian),Torino (Italian)
Internazionale (Italian),Sampdoria (Italian)
Internazionale (Italian),Sampdoria (Italian)
Internazionale (Italian),Udinese (Italian)
Internazionale (Italian),Juventus (Italian)
Internazionale (Italian),Stoke City (English)
Juventus (Italian),Verona (Italian)
Juventus (Italian),West Ham United (English)
Juventus (Italian),Chievo Verona (Italian)
Juventus (Italian),Boca Juniors (Argentinian)
Juventus (Italian),Bayern Munich (German)
Juventus (Italian),Sevilla (Spanish)
Juventus (Italian),Marseille (French)
Juventus (Italian),New York City (USA)
Juventus (Italian),Bayern Munich (German)
Juventus (Italian),Lazio (Italian)
Juventus (Italian),Verona (Italian)
Lazio (Italian),Espanyol (Spanish)
Lazio (Italian),Flamengo (Brazilian)
Lazio (Italian),Atlético Paranaense (Brazilian)
Lazio (Italian),Santos (Brazilian)
Lazio (Italian),Nantes (French)
Lazio (Italian),Troyes (French)
Lazio (Italian),Trabzonspor (Turkish)
Milan (Italian),Genoa (Italian)
Milan (Italian),Bologna (Italian)
Milan (Italian),Verona (Italian)
Milan (Italian),Sevilla (Spanish)
Milan (Italian),Verona (Italian)
Milan (Italian),Panathinaikos (Greek)
Milan (Italian),Spartak Moscow (Russian)
Milan (Italian),PSV Eindhoven (Dutch)
Milan (Italian),Genoa (Italian)
Milan (Italian),Villarreal (Spanish)
Milan (Italian),Atalanta (Italian)
Milan (Italian),Carpi (Italian)
Milan (Italian),Roma (Italian)
Milan (Italian),Málaga (Spanish)
Napoli (Italian),Watford (English)
Napoli (Italian),Carpi (Italian)
Napoli (Italian),Panathinaikos (Greek)
Napoli (Italian),Bologna (Italian)
Napoli (Italian),FC Twente (Dutch)
Santos (Brazilian),FC Twente (Dutch)
Napoli (Italian),Leicester City (English)
Napoli (Italian),Udinese (Italian)
Palermo (Italian),Sampdoria (Italian)
Palermo (Italian),Juventus (Italian)
Palermo (Italian),Roma (Italian)
Palermo (Italian),Godoy Cruz (Mendoza) (Argentinian)
Palermo (Italian),Genoa (Italian)
Palermo (Italian),Carpi (Italian)
Palermo (Italian),Torino (Italian)
Parma (Italian),Sampdoria (Italian)
Parma (Italian),PAS Giannina (Greek)
Parma (Italian),Rennes (French)
Parma (Italian),Milan (Italian)
Parma (Italian),Empoli (Italian)
Parma (Italian),Chievo Verona (Italian)
Parma (Italian),Udinese (Italian)
Parma (Italian),FC Porto (Portuguese)
Parma (Italian),Levante (Spanish)
Parma (Italian),Lechia Gdańsk (Polish)
Parma (Italian),Sassuolo (Italian)
Parma (Italian),Sassuolo (Italian)
Parma (Italian),Bursaspor (Turkish)
Parma (Italian),Bologna (Italian)
Roma (Italian),Lyon (French)
Roma (Italian),Bournemouth (English)
Roma (Italian),Internazionale (Italian)
Roma (Italian),FSV Mainz 05 (German)
Roma (Italian),Fiorentina (Italian)
Roma (Italian),Watford (English)
Roma (Italian),Empoli (Italian)
Roma (Italian),Empoli (Italian)
Roma (Italian),Chievo Verona (Italian)
Roma (Italian),Sassuolo (Italian)
Roma (Italian),Cracovia Kraków (Polish)
Roma (Italian),Newcastle United (English)
Roma (Italian),Sporting Gijón (Spanish)
Sampdoria (Italian),Milan (Italian)
Sampdoria (Italian),Sassuolo (Italian)
Sampdoria (Italian),Anderlecht (Belgian)
Sampdoria (Italian),West Ham United (English)
Sampdoria (Italian),Napoli (Italian)
Sampdoria (Italian),Genoa (Italian)
Sampdoria (Italian),Bologna (Italian)
Sampdoria (Italian),Internazionale (Italian)
Sampdoria (Italian),Torino (Italian)
Sampdoria (Italian),Manchester United (English)
Sampdoria (Italian),Verona (Italian)
Sampdoria (Italian),Chievo Verona (Italian)
Sampdoria (Italian),Antalyaspor (Turkish)
Sassuolo (Italian),Frosinone (Italian)
Sassuolo (Italian),Juventus (Italian)
Sassuolo (Italian),Bologna (Italian)
Sassuolo (Italian),Antalyaspor (Turkish)
Sassuolo (Italian),Bologna (Italian)
Sassuolo (Italian),Chievo Verona (Italian)
Sassuolo (Italian),Bologna (Italian)
Torino (Italian),Napoli (Italian)
Torino (Italian),Sampdoria (Italian)
Torino (Italian),Manchester United (English)
Udinese (Italian),Napoli (Italian)
Udinese (Italian),Carpi (Italian)
Udinese (Italian),Vålerenga (Norwegian)
Udinese (Italian),Fiorentina (Italian)
Udinese (Italian),Genoa (Italian)
Udinese (Italian),Chievo Verona (Italian)
Udinese (Italian),Panathinaikos (Greek)
Verona (Italian),1.FC Köln (German)
Verona (Italian),River Plate (Argentinian)
Verona (Italian),Lille (French)
Verona (Italian),Udinese (Italian)
Verona (Italian),Sampdoria (Italian)
Verona (Italian),Coritiba (Brazilian)
Verona (Italian),Sampdoria (Italian)
Verona (Italian),Atalanta (Italian)
Verona (Italian),Grêmio (Brazilian)
Verona (Italian),Genoa (Italian)
Amkar Perm (Russian),Rubin Kazan (Russian)
Amkar Perm (Russian),FC Ufa (Russian)
Amkar Perm (Russian),FC Rostov (Russian)
Amkar Perm (Russian),Lokomotiv Moscow (Russian)
Amkar Perm (Russian),Dynamo Moscow (Russian)
Arsenal Tula (Russian),Spartak Moscow (Russian)
Arsenal Tula (Russian),FC Ufa (Russian)
Dynamo Moscow (Russian),Anderlecht (Belgian)
Dynamo Moscow (Russian),Trabzonspor (Turkish)
Dynamo Moscow (Russian),Roma (Italian)
Dynamo Moscow (Russian),Bursaspor (Turkish)
Dynamo Moscow (Russian),Zenit St. Petersburg (Russian)
Dynamo Moscow (Russian),Zenit St. Petersburg (Russian)
Dynamo Moscow (Russian),Lyon (French)
Dynamo Moscow (Russian),Zenit St. Petersburg (Russian)
Dynamo Moscow (Russian),1899 Hoffenheim (German)
Dynamo Moscow (Russian),FC Rostov (Russian)
FC Krasnodar (Russian),FC Ural (Russian)
FC Krasnodar (Russian),Legia Warszawa (Polish)
FC Krasnodar (Russian),CSKA Moscow (Russian)
FC Krasnodar (Russian),Mordovia Saransk (Russian)
Kuban Krasnodar (Russian),FC Krasnodar (Russian)
Kuban Krasnodar (Russian),Anzhi Makhachkala (Russian)
Kuban Krasnodar (Russian),VfB Stuttgart (German)
Kuban Krasnodar (Russian),Lokomotiv Moscow (Russian)
Kuban Krasnodar (Russian),Hannover 96 (German)
Kuban Krasnodar (Russian),Dynamo Moscow (Russian)
Kuban Krasnodar (Russian),Spartak Moscow (Russian)
Kuban Krasnodar (Russian),Dynamo Moscow (Russian)
Kuban Krasnodar (Russian),Spartak Moscow (Russian)
Kuban Krasnodar (Russian),CSKA Moscow (Russian)
Lokomotiv Moscow (Russian),Kuban Krasnodar (Russian)
Lokomotiv Moscow (Russian),KAA Gent (Belgian)
Lokomotiv Moscow (Russian),Everton (English)
Lokomotiv Moscow (Russian),Krylia Sovetov (Russian)
Mordovia Saransk (Russian),Lokomotiv Moscow (Russian)
Mordovia Saransk (Russian),CSKA Moscow (Russian)
Mordovia Saransk (Russian),Antalyaspor (Turkish)
Mordovia Saransk (Russian),FC Ufa (Russian)
Mordovia Saransk (Russian),Krylia Sovetov (Russian)
Mordovia Saransk (Russian),Anzhi Makhachkala (Russian)
FC Rostov (Russian),Deportivo La Coruña (Spanish)
FC Rostov (Russian),Spartak Moscow (Russian)
FC Rostov (Russian),FC Krasnodar (Russian)
FC Rostov (Russian),Dynamo Moscow (Russian)
FC Rostov (Russian),Lokomotiv Moscow (Russian)
FC Rostov (Russian),Zenit St. Petersburg (Russian)
FC Rostov (Russian),KVC Westerlo (Belgian)
Rubin Kazan (Russian),Empoli (Italian)
Rubin Kazan (Russian),Mordovia Saransk (Russian)
Rubin Kazan (Russian),FC Rostov (Russian)
Spartak Moscow (Russian),Rayo Vallecano (Spanish)
Spartak Moscow (Russian),Watford (English)
Spartak Moscow (Russian),Rayo Vallecano (Spanish)
Spartak Moscow (Russian),Bayern Munich (German)
Spartak Moscow (Russian),Lokeren (Belgian)
Spartak Moscow (Russian),Vasco da Gama (Brazilian)
Spartak Moscow (Russian),FC Ufa (Russian)
Terek Grozny (Russian),Zenit St. Petersburg (Russian)
Terek Grozny (Russian),FC Rostov (Russian)
Terek Grozny (Russian),Guangzhou R&F (Chinese)
Terek Grozny (Russian),Eskişehirspor (Turkish)
Terek Grozny (Russian),Royal Mouscron-Péruwelz (Belgian)
Torpedo Moscow (Russian),Helsingborgs IF (Swedish)
Torpedo Moscow (Russian),FC Ural (Russian)
Torpedo Moscow (Russian),FC Ufa (Russian)
Torpedo Moscow (Russian),Spartak Moscow (Russian)
Torpedo Moscow (Russian),Terek Grozny (Russian)
Torpedo Moscow (Russian),Gaziantepspor (Turkish)
Torpedo Moscow (Russian),Mordovia Saransk (Russian)
Torpedo Moscow (Russian),Rubin Kazan (Russian)
Torpedo Moscow (Russian),FC Ural (Russian)
Torpedo Moscow (Russian),Mordovia Saransk (Russian)
Torpedo Moscow (Russian),FC Ufa (Russian)
Torpedo Moscow (Russian),Anzhi Makhachkala (Russian)
Torpedo Moscow (Russian),Amkar Perm (Russian)
FC Ufa (Russian),Anzhi Makhachkala (Russian)
FC Ufa (Russian),Levadiakos (Greek)
FC Ufa (Russian),Korona Kielce (Polish)
FC Ural (Russian),FC Krasnodar (Russian)
FC Ural (Russian),FC Krasnodar (Russian)
FC Ural (Russian),FC Rostov (Russian)
FC Ural (Russian),FC Krasnodar (Russian)
Zenit St. Petersburg (Russian),FC Ural (Russian)
Zenit St. Petersburg (Russian),FC Rostov (Russian)
